Datum;Dax30;Dax30lag;S&P500;S&P500lag
17.08.1998;-0,761639251;2,216420823;1,971474845;-1,126091224
18.08.1998;3,131794191;-0,761639251;1,628073943;1,971474845
19.08.1998;-0,003927064;3,131794191;-0,278952215;1,628073943
20.08.1998;-2,055898592;-0,003927064;-0,582382917;-0,278952215
21.08.1998;-5,397721059;-2,055898592;-0,947441217;-0,582382917
24.08.1998;1,209494085;-5,397721059;0,6386273;-0,947441217
25.08.1998;2,924783663;1,209494085;0,433115959;0,6386273
26.08.1998;-2,948198919;2,924783663;-0,784481568;0,433115959
27.08.1998;-4,476124414;-2,948198919;-3,828034347;-0,784481568
28.08.1998;-1,734184766;-4,476124414;-1,467376685;-3,828034347
31.08.1998;-2,324901539;-1,734184766;-6,799529209;-1,467376685
01.09.1998;0,927403934;-2,324901539;3,867056598;-6,799529209
02.09.1998;1,90716448;0,927403934;-0,357158802;3,867056598
03.09.1998;-3,059102639;1,90716448;-0,826873964;-0,357158802
04.09.1998;1,414178894;-3,059102639;-0,847397006;-0,826873964
08.09.1998;4,74103643;1,414178894;5,096015911;-0,847397006
09.09.1998;-2,692115974;4,74103643;-1,680446385;5,096015911
10.09.1998;-4,323738918;-2,692115974;-2,58322787;-1,680446385
11.09.1998;0,22343778;-4,323738918;2,975149999;-2,58322787
14.09.1998;2,920509396;0,22343778;2,067183463;2,975149999
15.09.1998;-0,857257878;2,920509396;0,773634135;2,067183463
16.09.1998;0,425017932;-0,857257878;0,758506578;0,773634135
17.09.1998;-4,990579166;0,425017932;-2,538541148;0,758506578
18.09.1998;-0,122271837;-4,990579166;0,120114718;-2,538541148
21.09.1998;-3,984972001;-0,122271837;0,374545945;0,120114718
22.09.1998;2,480215718;-3,984972001;0,560805134;0,374545945
23.09.1998;3,818888032;2,480215718;3,544518754;0,560805134
24.09.1998;-2,363348409;3,818888032;-2,191918695;3,544518754
25.09.1998;-0,583995108;-2,363348409;0,194678964;-2,191918695
28.09.1998;2,031886328;-0,583995108;0,408618548;0,194678964
29.09.1998;-1,651074492;2,031886328;0,033179178;0,408618548
30.09.1998;-3,682779279;-1,651074492;-3,045274909;0,033179178
01.10.1998;-7,589637343;-3,682779279;-3,009169141;-3,045274909
02.10.1998;-1,839242714;-7,589637343;1,649065946;-3,009169141
05.10.1998;-1,202196397;-1,839242714;-1,400415358;1,649065946
06.10.1998;5,399157389;-1,202196397;-0,396376499;-1,400415358
07.10.1998;-2,896504268;5,399157389;-1,383349249;-0,396376499
08.10.1998;-4,9769202;-2,896504268;-1,15538388;-1,383349249
09.10.1998;2,888482064;-4,9769202;2,600506834;-1,15538388
12.10.1998;7,504580414;2,888482064;1,353103851;2,600506834
13.10.1998;-0,433324047;7,504580414;-0,285434972;1,353103851
14.10.1998;2,773963584;-0,433324047;1,080217365;-0,285434972
15.10.1998;0,469904601;2,773963584;4,173222739;1,080217365
16.10.1998;1,764261187;0,469904601;0,853463508;4,173222739
19.10.1998;-0,065784763;1,764261187;0,56509257;0,853463508
20.10.1998;4,291810899;-0,065784763;0,144961578;0,56509257
21.10.1998;-2,647353076;4,291810899;0,569847227;0,144961578
22.10.1998;-1,883979667;-2,647353076;0,802456358;0,569847227
23.10.1998;0,703734671;-1,883979667;-0,723169488;0,802456358
